TIME,collisions,multicast,rx_bytes,rx_compressed,rx_crc_errors,rx_dropped,rx_errors,rx_fifo_errors,rx_frame_errors,rx_length_errors,rx_missed_errors,rx_nohandler,rx_over_errors,rx_packets,tx_aborted_errors,tx_bytes,tx_carrier_errors,tx_compressed,tx_dropped,tx_errors,tx_fifo_errors,tx_heartbeat_errors,tx_packets,tx_window_errors
06/29/2022_18:40:23,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11063549,0,0,564,0,0,0,71864,0
06/29/2022_18:43:37,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11064375,0,0,564,0,0,0,71871,0
06/29/2022_18:46:51,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11065555,0,0,564,0,0,0,71881,0
06/29/2022_18:50:04,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11066263,0,0,564,0,0,0,71887,0
06/29/2022_18:53:18,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11067561,0,0,564,0,0,0,71898,0
06/29/2022_18:56:31,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11068387,0,0,564,0,0,0,71905,0
06/29/2022_18:59:45,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11069685,0,0,564,0,0,0,71916,0
06/29/2022_19:02:59,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11070629,0,0,564,0,0,0,71924,0
06/29/2022_19:06:12,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11071809,0,0,564,0,0,0,71934,0
06/29/2022_19:09:26,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11073107,0,0,564,0,0,0,71945,0
06/29/2022_19:12:39,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11073933,0,0,564,0,0,0,71952,0
06/29/2022_19:15:53,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11075113,0,0,564,0,0,0,71962,0
06/29/2022_19:19:07,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11075939,0,0,564,0,0,0,71969,0
06/29/2022_19:22:20,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11077119,0,0,564,0,0,0,71979,0
06/29/2022_19:25:34,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11077945,0,0,564,0,0,0,71986,0
06/29/2022_19:28:48,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11079243,0,0,564,0,0,0,71997,0
06/29/2022_19:32:02,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11080069,0,0,564,0,0,0,72004,0
06/29/2022_19:35:15,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11081367,0,0,564,0,0,0,72015,0
06/29/2022_19:38:29,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11082547,0,0,564,0,0,0,72025,0
06/29/2022_19:41:42,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11083609,0,0,564,0,0,0,72034,0
06/29/2022_19:44:56,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11084907,0,0,564,0,0,0,72045,0
06/29/2022_19:48:10,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11085733,0,0,564,0,0,0,72052,0
06/29/2022_19:51:23,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11086913,0,0,564,0,0,0,72062,0
06/29/2022_19:54:37,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11087739,0,0,564,0,0,0,72069,0
06/29/2022_19:57:51,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11088919,0,0,564,0,0,0,72079,0
06/29/2022_20:01:04,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11089745,0,0,564,0,0,0,72086,0
06/29/2022_20:04:18,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11090925,0,0,564,0,0,0,72096,0
06/29/2022_20:07:32,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11091751,0,0,564,0,0,0,72103,0
06/29/2022_20:10:45,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11092931,0,0,564,0,0,0,72113,0
06/29/2022_20:13:59,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11094229,0,0,564,0,0,0,72124,0
06/29/2022_20:17:13,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11095055,0,0,564,0,0,0,72131,0
06/29/2022_20:20:26,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11096353,0,0,564,0,0,0,72142,0
06/29/2022_20:23:40,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11097179,0,0,564,0,0,0,72149,0
06/29/2022_20:26:54,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11098477,0,0,564,0,0,0,72160,0
06/29/2022_20:30:07,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11099421,0,0,564,0,0,0,72168,0
06/29/2022_20:33:21,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11100601,0,0,564,0,0,0,72178,0
06/29/2022_20:36:35,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11101545,0,0,564,0,0,0,72186,0
06/29/2022_20:39:48,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11102725,0,0,564,0,0,0,72196,0
06/29/2022_20:43:02,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11103905,0,0,564,0,0,0,72206,0
06/29/2022_20:46:16,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11104731,0,0,564,0,0,0,72213,0
06/29/2022_20:49:29,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11106029,0,0,564,0,0,0,72224,0
06/29/2022_20:52:43,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11106855,0,0,564,0,0,0,72231,0
06/29/2022_20:55:57,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11108035,0,0,564,0,0,0,72241,0
06/29/2022_20:59:10,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11108861,0,0,564,0,0,0,72248,0
06/29/2022_21:02:24,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11110041,0,0,564,0,0,0,72258,0
06/29/2022_21:05:38,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11110867,0,0,564,0,0,0,72265,0
06/29/2022_21:08:51,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11112047,0,0,564,0,0,0,72275,0
06/29/2022_21:12:05,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11112873,0,0,564,0,0,0,72282,0
06/29/2022_21:15:19,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11114053,0,0,564,0,0,0,72292,0
06/29/2022_21:18:32,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,11115351,0,0,564,0,0,0,72303,0
