Mem: 227612K used, 571952K free, 108K shrd, 0K buff, 22956K cached
CPU:  0.0% usr  8.3% sys  0.0% nic 83.3% idle  0.0% io  0.0% irq  8.3% sirq
Load average: 0.08 0.04 0.01 1/425 493
  PID  PPID USER     STAT   VSZ %VSZ CPU %CPU COMMAND
    8     2 root     SW       0  0.0   0  0.0 [ksoftirqd/0]
  236     2 root     SW       0  0.0   0  0.0 [ubi_bgt0d]
  237     2 root     SW       0  0.0   0  0.0 [ubifs_bgt0_0]
  662     2 root     SW       0  0.0   0  0.0 [qrtr_rx]
16920     2 root     IW       0  0.0   0  0.0 [kworker/u2:3]
12489     2 root     SW       0  0.0   0  0.0 [kworker/u2:2]
 9229     2 root     SW       0  0.0   0  0.0 [kworker/u2:4]
13231     2 root     SW       0  0.0   0  0.0 [kworker/u2:11]
 1866     2 root     SW       0  0.0   0  0.0 [wlan_logging_th]
 4628     2 root     IW       0  0.0   0  0.0 [kworker/u2:1]
16366     2 root     SW       0  0.0   0  0.0 [kworker/u2:0]
16959     2 root     SW       0  0.0   0  0.0 [kworker/u2:12]
  549     2 root     IW<      0  0.0   0  0.0 [kworker/u3:18]
25637     2 root     SW       0  0.0   0  0.0 [kworker/u2:5]
25176     2 root     IW       0  0.0   0  0.0 [kworker/u2:7]
   15     2 root     SW       0  0.0   0  0.0 [msm_watchdog]
    4     2 root     IW       0  0.0   0  0.0 [kworker/0:0]
   81     2 root     SW       0  0.0   0  0.0 [hwrng]
30717     2 root     SW       0  0.0   0  0.0 [kworker/u2:10]
  547     2 root     IW<      0  0.0   0  0.0 [kworker/u3:16]
    2     0 root     SW       0  0.0   0  0.0 [kthreadd]
31293     2 root     IW       0  0.0   0  0.0 [kworker/0:1]
   12     2 root     SW       0  0.0   0  0.0 [kdevtmpfs]
  348     2 root     SW       0  0.0   0  0.0 [ubi_bgt1d]
32241     2 root     IW       0  0.0   0  0.0 [kworker/0:2]
    3     2 root     IW<      0  0.0   0  0.0 [rcu_gp]
    5     2 root     IW<      0  0.0   0  0.0 [kworker/0:0H]
    7     2 root     IW<      0  0.0   0  0.0 [mm_percpu_wq]
   10     2 root     IW       0  0.0   0  0.0 [rcu_sched]
   11     2 root     IW       0  0.0   0  0.0 [rcu_bh]
   13     2 root     IW<      0  0.0   0  0.0 [netns]
   18     2 root     IW<      0  0.0   0  0.0 [ipa_usb_wq]
   19     2 root     SW       0  0.0   0  0.0 [qmp_aop]
   21     2 root     SW       0  0.0   0  0.0 [oom_reaper]
   22     2 root     IW<      0  0.0   0  0.0 [writeback]
   23     2 root     SW       0  0.0   0  0.0 [kcompactd0]
   24     2 root     IW<      0  0.0   0  0.0 [crypto]
   25     2 root     IW<      0  0.0   0  0.0 [kblockd]
   26     2 root     SW       0  0.0   0  0.0 [irq/42-arm-smmu]
   27     2 root     SW       0  0.0   0  0.0 [irq/35-tsens-up]
   28     2 root     SW       0  0.0   0  0.0 [irq/36-tsens-cr]
   29     2 root     SW       0  0.0   0  0.0 [system]
   30     2 root     IW<      0  0.0   0  0.0 [ipa_power_mgmt]
   31     2 root     IW<      0  0.0   0  0.0 [transport_power]
   32     2 root     IW<      0  0.0   0  0.0 [ipa_pm_activate]
   33     2 root     IW<      0  0.0   0  0.0 [ipa_eth]
   34     2 root     IW<      0  0.0   0  0.0 [devfreq_wq]
   35     2 root     IW<      0  0.0   0  0.0 [cfg80211]
   36     2 root     IW<      0  0.0   0  0.0 [watchdogd]
   37     2 root     SW       0  0.0   0  0.0 [kauditd]
   38     2 root     SW       0  0.0   0  0.0 [kswapd0]
   77     2 root     SW       0  0.0   0  0.0 [irq/32-smp2p]
   78     2 root     IW<      0  0.0   0  0.0 [k_hsuart]
   79     2 root     SW       0  0.0   0  0.0 [msm_serial_hs_0]
   80     2 root     SW       0  0.0   0  0.0 [msm_serial_hs_0]
   83     2 root     IW<      0  0.0   0  0.0 [diag_real_time_]
   84     2 root     IW<      0  0.0   0  0.0 [diag_wq]
