PID   PPID  USER     VSZ  RSS  COMMAND
  135     2 root        0    0 DIAG_RPMSG_DIAG
  136     2 root        0    0 DIAG_RPMSG_DIAG
  137     2 root        0    0 DIAG_RPMSG_DIAG
  138     2 root        0    0 DIAG_RPMSG_DIAG
  139     2 root        0    0 DIAG_RPMSG_DIAG
  140     2 root        0    0 DIAG_RPMSG_DIAG
  141     2 root        0    0 DIAG_RPMSG_DIAG
  142     2 root        0    0 DIAG_RPMSG_DIAG
  143     2 root        0    0 DIAG_RPMSG_DIAG
  144     2 root        0    0 DIAG_RPMSG_APPS
  145     2 root        0    0 DIAG_RPMSG_APPS
  146     2 root        0    0 DIAG_RPMSG_DIAG
  147     2 root        0    0 DIAG_RPMSG_DIAG
  148     2 root        0    0 DIAG_RPMSG_DIAG
  149     2 root        0    0 DIAG_RPMSG_DIAG
  150     2 root        0    0 DIAG_RPMSG_DIAG
  151     2 root        0    0 DIAG_RPMSG_DIAG
  152     2 root        0    0 DIAG_RPMSG_DIAG
  153     2 root        0    0 DIAG_RPMSG_DIAG
  154     2 root        0    0 kworker/u2:2
  155     2 root        0    0 diag_mhi_MDM
  156     2 root        0    0 kworker/u2:3
  157     2 root        0    0 kworker/u2:4
  158     2 root        0    0 kworker/u2:5
  159     2 root        0    0 kworker/u2:6
  160     2 root        0    0 kworker/u2:7
  161     2 root        0    0 DIAG_USB_diag_m
  162     2 root        0    0 diag_mhi_MDM_DC
  163     2 root        0    0 diag_dci_MDM_DC
  164     2 root        0    0 qseecom-unreg-l
  165     2 root        0    0 qseecom-unload-
  166     2 root        0    0 atlantic-fwd
  167     2 root        0    0 irq/43-arm-smmu
  168     2 root        0    0 mhi_w
  174     2 root        0    0 uether
  175     2 root        0    0 k_ipa_usb
  178     2 root        0    0 irq/196-soc-upd
  179     2 root        0    0 irq/197-soc-rea
  180     2 root        0    0 irq/198-bsoc-de
  181     2 root        0    0 irq/199-msoc-de
  182     2 root        0    0 irq/200-msoc-lo
  183     2 root        0    0 irq/201-msoc-em
