-86.01,-10.89,16.6
-85.71,-10.88,16.74
-85.81,-10.89,16.68
-85.63,-10.88,16.9
-85.69,-10.88,16.85
-85.86,-10.89,16.69
-85.92,-10.89,16.73
-85.82,-10.88,16.88
-85.89,-10.89,16.59
-85.85,-10.89,16.82
-86.11,-10.89,16.61
-86.05,-10.89,16.57
-85.85,-10.88,16.87
-85.83,-10.89,16.74
-85.74,-10.89,16.69
-85.62,-10.88,16.87
-85.56,-10.88,17.16
-85.76,-10.88,16.93
-85.99,-10.89,16.84
-85.95,-10.89,16.59
-87.44,-10.93,15.29
-86.9,-10.91,15.93
-85.49,-10.89,16.84
-90.1,-10.88,16.87
-89.55,-10.87,17.33
-89.94,-10.89,16.35
-90.03,-10.89,16.52
-90.19,-10.89,16.5
-90.33,-10.89,16.4
-90.55,-10.89,16.55
-90.06,-10.89,16.83
-90.29,-10.89,16.45
-89.99,-10.89,16.57
-89.98,-10.88,16.94
-90.24,-10.88,16.91
-89.89,-10.88,17.05
-89.98,-10.89,16.78
-90.16,-10.88,16.85
-90.3,-10.88,16.76
-89.94,-10.89,16.72
-90.34,-10.88,16.73
-91.02,-10.91,16.08
-89.94,-10.88,16.93
-89.89,-10.88,16.86
-89.9,-10.88,17.24
-90.07,-10.88,17.03
-89.84,-10.87,17.34
-89.68,-10.87,17.35
-89.81,-10.88,17.08
-89.75,-10.88,16.98
-89.4,-10.88,17.3
-89.55,-10.88,17.12
-90.21,-10.88,16.9
-89.85,-10.88,17.15
-90.07,-10.88,16.85
-89.65,-10.88,17.26
-89.79,-10.88,17.33
-89.99,-10.88,17.2
-89.98,-10.88,16.99
-89.66,-10.88,17.22
-89.66,-10.88,17.19
-90.15,-10.89,16.62
-89.99,-10.88,17.11
-90.68,-10.89,16.53
-90.48,-10.88,16.84
-90.57,-10.89,16.67
-90.6,-10.89,16.65
-90.65,-10.89,16.52
-90.7,-10.89,16.66
-90.66,-10.89,16.46
-90.63,-10.89,16.76
-90.75,-10.89,16.61
-90.68,-10.89,16.87
-90.77,-10.89,16.65
-90.69,-10.89,16.53
-90.52,-10.89,16.57
-90.68,-10.89,16.66
-90.72,-10.89,16.54
-90.64,-10.89,16.89
-90.88,-10.9,16.47
-90.75,-10.89,16.53
-90.86,-10.89,16.46
-90.68,-10.89,16.43
-90.98,-10.89,16.54
-91.55,-10.9,16.33
-91.02,-10.89,16.6
-90.82,-10.89,16.77
-91.74,-10.9,16.28
-90.75,-10.89,16.63
-91.22,-10.89,16.43
-91.57,-10.91,16.01
-90.79,-10.89,16.61
-91,-10.89,16.58
-91.44,-10.9,16.14
-92.65,-10.92,15.63
