TIME,FREE_MEM,PID,RSS,OOM_SCORE,OOM_SCORE_ADJ,OOM_ADJ,CMD,CLIENT_COUNT,USB(RNDIS)
06/29/2022_20:01:01,559,838,3224,4,0,0,dsmd,0,0
06/29/2022_20:01:01,559,13617,408,0,0,0,sleep,0,0
06/29/2022_20:01:01,559,13642,620,0,0,0,ps,0,0
06/29/2022_20:01:01,559,13643,568,0,0,0,awk,0,0
06/29/2022_20:04:14,559,14476,408,0,0,0,sleep,0,0
06/29/2022_20:04:14,559,14508,620,0,0,0,ps,0,0
06/29/2022_20:04:14,559,14509,568,0,0,0,awk,0,0
06/29/2022_20:07:28,559,15354,408,0,0,0,sleep,0,0
06/29/2022_20:07:28,559,15372,620,0,0,0,ps,0,0
06/29/2022_20:07:28,559,15373,568,0,0,0,awk,0,0
06/29/2022_20:10:42,559,16217,408,0,0,0,sleep,0,0
06/29/2022_20:10:42,559,16235,620,0,0,0,ps,0,0
06/29/2022_20:10:42,559,16236,568,0,0,0,awk,0,0
06/29/2022_20:13:55,559,17069,408,0,0,0,sleep,0,0
06/29/2022_20:13:55,559,17099,620,0,0,0,ps,0,0
06/29/2022_20:13:55,559,17100,568,0,0,0,awk,0,0
06/29/2022_20:17:09,558,17931,408,0,0,0,sleep,0,0
06/29/2022_20:17:09,558,17968,620,0,0,0,ps,0,0
06/29/2022_20:17:09,558,17969,568,0,0,0,awk,0,0
06/29/2022_20:20:23,559,18816,408,0,0,0,sleep,0,0
06/29/2022_20:20:23,559,18834,620,0,0,0,ps,0,0
06/29/2022_20:20:23,559,18835,568,0,0,0,awk,0,0
06/29/2022_20:23:36,559,19666,408,0,0,0,sleep,0,0
06/29/2022_20:23:36,559,19690,620,0,0,0,ps,0,0
06/29/2022_20:23:36,559,19691,568,0,0,0,awk,0,0
06/29/2022_20:26:50,559,20534,408,0,0,0,sleep,0,0
06/29/2022_20:26:50,559,20553,620,0,0,0,ps,0,0
06/29/2022_20:26:50,559,20554,568,0,0,0,awk,0,0
06/29/2022_20:30:04,559,21387,408,0,0,0,sleep,0,0
06/29/2022_20:30:04,559,21418,620,0,0,0,ps,0,0
06/29/2022_20:30:04,559,21419,568,0,0,0,awk,0,0
06/29/2022_20:33:17,559,22247,408,0,0,0,sleep,0,0
06/29/2022_20:33:17,559,22285,620,0,0,0,ps,0,0
06/29/2022_20:33:17,559,22286,568,0,0,0,awk,0,0
06/29/2022_20:36:31,559,23125,408,0,0,0,sleep,0,0
06/29/2022_20:36:31,559,23143,620,0,0,0,ps,0,0
06/29/2022_20:36:31,559,23144,568,0,0,0,awk,0,0
06/29/2022_20:39:45,559,23993,408,0,0,0,sleep,0,0
06/29/2022_20:39:45,559,24006,620,0,0,0,ps,0,0
06/29/2022_20:39:45,559,24007,568,0,0,0,awk,0,0
06/29/2022_20:42:58,559,24843,408,0,0,0,sleep,0,0
06/29/2022_20:42:58,559,24871,620,0,0,0,ps,0,0
06/29/2022_20:42:58,559,24872,568,0,0,0,awk,0,0
06/29/2022_20:46:12,559,25700,408,0,0,0,sleep,0,0
06/29/2022_20:46:12,559,25731,620,0,0,0,ps,0,0
06/29/2022_20:46:12,559,25732,568,0,0,0,awk,0,0
06/29/2022_20:49:26,559,26588,408,0,0,0,sleep,0,0
06/29/2022_20:49:26,559,26600,620,0,0,0,ps,0,0
06/29/2022_20:49:26,559,26601,568,0,0,0,awk,0,0
06/29/2022_20:52:39,559,27432,408,0,0,0,sleep,0,0
06/29/2022_20:52:39,559,27456,620,0,0,0,ps,0,0
06/29/2022_20:52:39,559,27457,568,0,0,0,awk,0,0
06/29/2022_20:55:53,559,1314,5932,7,0,0,modem2d,0,0
06/29/2022_20:55:53,559,28298,408,0,0,0,sleep,0,0
06/29/2022_20:55:53,559,28324,620,0,0,0,ps,0,0
06/29/2022_20:55:53,559,28325,568,0,0,0,awk,0,0
06/29/2022_20:59:07,559,29155,408,0,0,0,sleep,0,0
06/29/2022_20:59:07,559,29188,620,0,0,0,ps,0,0
06/29/2022_20:59:07,559,29189,568,0,0,0,awk,0,0
06/29/2022_21:02:20,559,30016,408,0,0,0,sleep,0,0
06/29/2022_21:02:20,559,30054,620,0,0,0,ps,0,0
06/29/2022_21:02:20,559,30055,568,0,0,0,awk,0,0
06/29/2022_21:05:34,559,30893,408,0,0,0,sleep,0,0
06/29/2022_21:05:34,559,30911,620,0,0,0,ps,0,0
06/29/2022_21:05:34,559,30912,568,0,0,0,awk,0,0
06/29/2022_21:08:48,558,31761,408,0,0,0,sleep,0,0
06/29/2022_21:08:48,558,31780,620,0,0,0,ps,0,0
06/29/2022_21:08:48,558,31781,568,0,0,0,awk,0,0
06/29/2022_21:12:02,559,32614,408,0,0,0,sleep,0,0
06/29/2022_21:12:02,559,32639,620,0,0,0,ps,0,0
06/29/2022_21:12:02,559,32640,568,0,0,0,awk,0,0
06/29/2022_21:15:15,559,1133,408,0,0,0,sleep,0,0
06/29/2022_21:15:15,559,1165,620,0,0,0,ps,0,0
06/29/2022_21:15:15,559,1166,568,0,0,0,awk,0,0
06/29/2022_21:18:29,559,2133,408,0,0,0,sleep,0,0
06/29/2022_21:18:29,559,2151,620,0,0,0,ps,0,0
06/29/2022_21:18:29,559,2152,568,0,0,0,awk,0,0
06/29/2022_21:21:42,559,3002,408,0,0,0,sleep,0,0
06/29/2022_21:21:42,559,3014,620,0,0,0,ps,0,0
06/29/2022_21:21:42,559,3015,568,0,0,0,awk,0,0
06/29/2022_21:24:56,559,3867,408,0,0,0,sleep,0,0
06/29/2022_21:24:56,559,3886,620,0,0,0,ps,0,0
06/29/2022_21:24:56,559,3887,568,0,0,0,awk,0,0
06/29/2022_21:28:10,559,4725,408,0,0,0,sleep,0,0
06/29/2022_21:28:10,559,4750,620,0,0,0,ps,0,0
06/29/2022_21:28:10,559,4751,568,0,0,0,awk,0,0
06/29/2022_21:31:23,559,5604,408,0,0,0,sleep,0,0
06/29/2022_21:31:23,559,5622,620,0,0,0,ps,0,0
06/29/2022_21:31:23,559,5623,568,0,0,0,awk,0,0
06/29/2022_21:34:37,559,765,1028,1,0,0,syslogd_monitor,0,0
06/29/2022_21:34:37,559,6460,408,0,0,0,sleep,0,0
06/29/2022_21:34:37,559,6484,620,0,0,0,ps,0,0
06/29/2022_21:34:37,559,6485,568,0,0,0,awk,0,0
06/29/2022_21:37:51,559,7328,408,0,0,0,sleep,0,0
06/29/2022_21:37:51,559,7347,620,0,0,0,ps,0,0
06/29/2022_21:37:51,559,7348,568,0,0,0,awk,0,0
06/29/2022_21:41:04,559,8178,408,0,0,0,sleep,0,0
06/29/2022_21:41:04,559,8203,620,0,0,0,ps,0,0
06/29/2022_21:41:04,559,8204,568,0,0,0,awk,0,0
06/29/2022_21:44:18,559,9032,408,0,0,0,sleep,0,0
06/29/2022_21:44:18,559,9071,620,0,0,0,ps,0,0
06/29/2022_21:44:18,559,9072,568,0,0,0,awk,0,0
06/29/2022_21:47:32,559,9922,408,0,0,0,sleep,0,0
06/29/2022_21:47:32,559,9940,620,0,0,0,ps,0,0
06/29/2022_21:47:32,559,9941,568,0,0,0,awk,0,0
06/29/2022_21:50:45,559,10787,408,0,0,0,sleep,0,0
06/29/2022_21:50:45,559,10799,620,0,0,0,ps,0,0
06/29/2022_21:50:45,559,10800,568,0,0,0,awk,0,0
06/29/2022_21:53:59,559,11642,408,0,0,0,sleep,0,0
06/29/2022_21:53:59,559,11661,620,0,0,0,ps,0,0
06/29/2022_21:53:59,559,11662,568,0,0,0,awk,0,0
06/29/2022_21:57:13,559,12500,408,0,0,0,sleep,0,0
06/29/2022_21:57:13,559,12531,620,0,0,0,ps,0,0
06/29/2022_21:57:13,559,12532,568,0,0,0,awk,0,0
06/29/2022_22:00:26,558,13390,408,0,0,0,sleep,0,0
06/29/2022_22:00:26,558,13402,620,0,0,0,ps,0,0
06/29/2022_22:00:26,558,13403,568,0,0,0,awk,0,0
06/29/2022_22:03:40,559,14250,408,0,0,0,sleep,0,0
06/29/2022_22:03:40,559,14268,620,0,0,0,ps,0,0
06/29/2022_22:03:40,559,14269,568,0,0,0,awk,0,0
06/29/2022_22:06:53,559,15117,408,0,0,0,sleep,0,0
06/29/2022_22:06:53,559,15130,620,0,0,0,ps,0,0
06/29/2022_22:06:53,559,15131,568,0,0,0,awk,0,0
06/29/2022_22:10:07,559,15968,408,0,0,0,sleep,0,0
06/29/2022_22:10:07,559,15996,620,0,0,0,ps,0,0
06/29/2022_22:10:07,559,15997,568,0,0,0,awk,0,0
06/29/2022_22:13:21,559,16816,408,0,0,0,sleep,0,0
06/29/2022_22:13:21,559,16854,620,0,0,0,ps,0,0
06/29/2022_22:13:21,559,16855,568,0,0,0,awk,0,0
06/29/2022_22:16:34,559,17699,408,0,0,0,sleep,0,0
06/29/2022_22:16:34,559,17720,620,0,0,0,ps,0,0
06/29/2022_22:16:34,559,17721,568,0,0,0,awk,0,0
06/29/2022_22:19:48,559,18575,408,0,0,0,sleep,0,0
06/29/2022_22:19:48,559,18593,620,0,0,0,ps,0,0
06/29/2022_22:19:48,559,18594,568,0,0,0,awk,0,0
06/29/2022_22:23:02,559,19431,408,0,0,0,sleep,0,0
06/29/2022_22:23:02,559,19459,620,0,0,0,ps,0,0
06/29/2022_22:23:02,559,19460,568,0,0,0,awk,0,0
06/29/2022_22:26:15,559,20285,408,0,0,0,sleep,0,0
06/29/2022_22:26:15,559,20316,620,0,0,0,ps,0,0
06/29/2022_22:26:15,559,20317,568,0,0,0,awk,0,0
06/29/2022_22:29:29,559,21169,408,0,0,0,sleep,0,0
06/29/2022_22:29:29,559,21182,620,0,0,0,ps,0,0
06/29/2022_22:29:29,559,21183,568,0,0,0,awk,0,0
06/29/2022_22:32:42,559,22026,408,0,0,0,sleep,0,0
06/29/2022_22:32:42,559,22050,620,0,0,0,ps,0,0
06/29/2022_22:32:42,559,22051,568,0,0,0,awk,0,0
06/29/2022_22:35:56,559,22894,408,0,0,0,sleep,0,0
06/29/2022_22:35:56,559,22913,620,0,0,0,ps,0,0
06/29/2022_22:35:56,559,22914,568,0,0,0,awk,0,0
06/29/2022_22:39:10,559,23744,408,0,0,0,sleep,0,0
06/29/2022_22:39:10,559,23769,620,0,0,0,ps,0,0
06/29/2022_22:39:10,559,23770,568,0,0,0,awk,0,0
06/29/2022_22:42:23,559,24598,408,0,0,0,sleep,0,0
06/29/2022_22:42:23,559,24630,620,0,0,0,ps,0,0
06/29/2022_22:42:23,559,24631,568,0,0,0,awk,0,0
06/29/2022_22:45:37,558,25478,408,0,0,0,sleep,0,0
06/29/2022_22:45:37,558,25486,572,0,0,0,sh,0,0
06/29/2022_22:45:37,558,25487,600,0,0,0,ping6,0,0
06/29/2022_22:45:37,558,25499,620,0,0,0,ps,0,0
06/29/2022_22:45:37,558,25500,568,0,0,0,awk,0,0
06/29/2022_22:48:51,559,26354,408,0,0,0,sleep,0,0
06/29/2022_22:48:51,559,26366,620,0,0,0,ps,0,0
06/29/2022_22:48:51,559,26367,568,0,0,0,awk,0,0
06/29/2022_22:52:04,558,27214,408,0,0,0,sleep,0,0
06/29/2022_22:52:04,558,27236,620,0,0,0,ps,0,0
06/29/2022_22:52:04,558,27237,568,0,0,0,awk,0,0
06/29/2022_22:55:18,559,28061,408,0,0,0,sleep,0,0
06/29/2022_22:55:18,559,28095,620,0,0,0,ps,0,0
06/29/2022_22:55:18,559,28096,568,0,0,0,awk,0,0
06/29/2022_22:58:32,559,28946,408,0,0,0,sleep,0,0
06/29/2022_22:58:32,559,28964,620,0,0,0,ps,0,0
06/29/2022_22:58:32,559,28965,568,0,0,0,awk,0,0
06/29/2022_23:01:45,559,29798,408,0,0,0,sleep,0,0
06/29/2022_23:01:45,559,29822,620,0,0,0,ps,0,0
06/29/2022_23:01:45,559,29823,568,0,0,0,awk,0,0
06/29/2022_23:04:59,559,30672,408,0,0,0,sleep,0,0
06/29/2022_23:04:59,559,30691,620,0,0,0,ps,0,0
06/29/2022_23:04:59,559,30692,568,0,0,0,awk,0,0
06/29/2022_23:08:13,559,31523,408,0,0,0,sleep,0,0
06/29/2022_23:08:13,559,31549,620,0,0,0,ps,0,0
06/29/2022_23:08:13,559,31550,568,0,0,0,awk,0,0
06/29/2022_23:11:26,559,32377,408,0,0,0,sleep,0,0
06/29/2022_23:11:26,559,32415,620,0,0,0,ps,0,0
06/29/2022_23:11:26,559,32416,568,0,0,0,awk,0,0
06/29/2022_23:14:40,559,872,408,0,0,0,sleep,0,0
06/29/2022_23:14:40,559,890,620,0,0,0,ps,0,0
06/29/2022_23:14:40,559,891,568,0,0,0,awk,0,0
06/29/2022_23:17:53,559,1894,408,0,0,0,sleep,0,0
06/29/2022_23:17:53,559,1906,620,0,0,0,ps,0,0
06/29/2022_23:17:53,559,1907,568,0,0,0,awk,0,0
06/29/2022_23:21:07,559,2769,408,0,0,0,sleep,0,0
06/29/2022_23:21:07,559,2797,620,0,0,0,ps,0,0
06/29/2022_23:21:07,559,2798,568,0,0,0,awk,0,0
06/29/2022_23:24:21,559,3631,408,0,0,0,sleep,0,0
06/29/2022_23:24:21,559,3662,620,0,0,0,ps,0,0
06/29/2022_23:24:21,559,3663,568,0,0,0,awk,0,0
06/29/2022_23:27:34,559,4515,408,0,0,0,sleep,0,0
06/29/2022_23:27:34,559,4527,620,0,0,0,ps,0,0
06/29/2022_23:27:34,559,4528,568,0,0,0,awk,0,0
06/29/2022_23:30:48,559,5367,408,0,0,0,sleep,0,0
06/29/2022_23:30:48,559,5385,620,0,0,0,ps,0,0
06/29/2022_23:30:48,559,5386,568,0,0,0,awk,0,0
06/29/2022_23:34:02,559,6235,408,0,0,0,sleep,0,0
06/29/2022_23:34:02,559,6260,620,0,0,0,ps,0,0
06/29/2022_23:34:02,559,6261,568,0,0,0,awk,0,0
06/29/2022_23:37:15,559,7086,408,0,0,0,sleep,0,0
06/29/2022_23:37:15,559,7117,620,0,0,0,ps,0,0
06/29/2022_23:37:15,559,7118,568,0,0,0,awk,0,0
06/29/2022_23:40:29,559,7939,408,0,0,0,sleep,0,0
