TIME,collisions,multicast,rx_bytes,rx_compressed,rx_crc_errors,rx_dropped,rx_errors,rx_fifo_errors,rx_frame_errors,rx_length_errors,rx_missed_errors,rx_nohandler,rx_over_errors,rx_packets,tx_aborted_errors,tx_bytes,tx_carrier_errors,tx_compressed,tx_dropped,tx_errors,tx_fifo_errors,tx_heartbeat_errors,tx_packets,tx_window_errors
06/29/2022_13:56:23,0,0,294939,0,0,0,0,0,0,0,0,0,0,2973,0,5899983,0,0,63,0,0,0,48207,0
06/29/2022_13:59:36,0,0,294939,0,0,0,0,0,0,0,0,0,0,2973,0,5900927,0,0,63,0,0,0,48215,0
06/29/2022_14:02:50,0,0,294939,0,0,0,0,0,0,0,0,0,0,2973,0,5902225,0,0,63,0,0,0,48226,0
06/29/2022_14:06:04,0,0,294939,0,0,0,0,0,0,0,0,0,0,2973,0,5903405,0,0,63,0,0,0,48236,0
06/29/2022_14:09:17,0,0,294939,0,0,0,0,0,0,0,0,0,0,2973,0,5904231,0,0,63,0,0,0,48243,0
06/29/2022_14:12:31,0,0,294939,0,0,0,0,0,0,0,0,0,0,2973,0,5905529,0,0,63,0,0,0,48254,0
06/29/2022_14:15:45,0,0,294939,0,0,0,0,0,0,0,0,0,0,2973,0,5906355,0,0,63,0,0,0,48261,0
06/29/2022_14:18:58,0,0,294939,0,0,0,0,0,0,0,0,0,0,2973,0,5907535,0,0,63,0,0,0,48271,0
06/29/2022_14:22:12,0,0,294939,0,0,0,0,0,0,0,0,0,0,2973,0,5908479,0,0,63,0,0,0,48279,0
06/29/2022_14:25:26,0,0,294939,0,0,0,0,0,0,0,0,0,0,2973,0,5909777,0,0,63,0,0,0,48290,0
06/29/2022_14:28:39,0,0,294939,0,0,0,0,0,0,0,0,0,0,2973,0,5910603,0,0,63,0,0,0,48297,0
06/29/2022_14:31:53,0,0,294939,0,0,0,0,0,0,0,0,0,0,2973,0,5911783,0,0,63,0,0,0,48307,0
06/29/2022_14:35:07,0,0,294939,0,0,0,0,0,0,0,0,0,0,2973,0,5913081,0,0,63,0,0,0,48318,0
06/29/2022_14:38:20,0,0,294939,0,0,0,0,0,0,0,0,0,0,2973,0,5913907,0,0,63,0,0,0,48325,0
06/29/2022_14:41:34,0,0,294939,0,0,0,0,0,0,0,0,0,0,2973,0,5915087,0,0,63,0,0,0,48335,0
06/29/2022_14:44:48,0,0,294939,0,0,0,0,0,0,0,0,0,0,2973,0,5916149,0,0,63,0,0,0,48344,0
06/29/2022_14:48:01,0,0,294939,0,0,0,0,0,0,0,0,0,0,2973,0,5917329,0,0,63,0,0,0,48354,0
06/29/2022_14:51:15,0,0,294939,0,0,0,0,0,0,0,0,0,0,2973,0,5918273,0,0,63,0,0,0,48362,0
06/29/2022_14:54:28,0,0,294939,0,0,0,0,0,0,0,0,0,0,2973,0,5919453,0,0,63,0,0,0,48372,0
06/29/2022_14:57:42,0,0,294939,0,0,0,0,0,0,0,0,0,0,2973,0,5920751,0,0,63,0,0,0,48383,0
06/29/2022_15:00:56,0,0,294939,0,0,0,0,0,0,0,0,0,0,2973,0,5921459,0,0,63,0,0,0,48389,0
06/29/2022_15:04:09,0,0,294939,0,0,0,0,0,0,0,0,0,0,2973,0,5922639,0,0,63,0,0,0,48399,0
06/29/2022_15:07:23,0,0,294939,0,0,0,0,0,0,0,0,0,0,2973,0,5923583,0,0,63,0,0,0,48407,0
06/29/2022_15:10:37,0,0,294939,0,0,0,0,0,0,0,0,0,0,2973,0,5924645,0,0,63,0,0,0,48416,0
06/29/2022_15:13:50,0,0,294939,0,0,0,0,0,0,0,0,0,0,2973,0,5925589,0,0,63,0,0,0,48424,0
06/29/2022_15:17:04,0,0,294939,0,0,0,0,0,0,0,0,0,0,2973,0,5926769,0,0,63,0,0,0,48434,0
06/29/2022_15:20:18,0,0,294939,0,0,0,0,0,0,0,0,0,0,2973,0,5927595,0,0,63,0,0,0,48441,0
06/29/2022_15:23:31,0,0,294939,0,0,0,0,0,0,0,0,0,0,2973,0,5928775,0,0,63,0,0,0,48451,0
06/29/2022_15:26:45,0,0,294939,0,0,0,0,0,0,0,0,0,0,2973,0,5929601,0,0,63,0,0,0,48458,0
06/29/2022_15:29:59,0,0,294939,0,0,0,0,0,0,0,0,0,0,2973,0,5930899,0,0,63,0,0,0,48469,0
06/29/2022_15:33:12,0,0,294939,0,0,0,0,0,0,0,0,0,0,2973,0,5931961,0,0,63,0,0,0,48478,0
06/29/2022_15:36:26,0,0,294939,0,0,0,0,0,0,0,0,0,0,2973,0,5933023,0,0,63,0,0,0,48487,0
