TIME,rmnet_data0_tx,rndis0_tx,wlan0_tx,wlan1_tx,br0_tx,br0_wlan0_tx,br0_wlan1_tx,rmnet_data0_rx,rndis0_rx,wlan0_rx,wlan1_rx,br0_rx,br0_wlan0_rx,br0_wlan1_rx,nf_count,modem_ipv4_tx,modem_ipv6_tx,ipv4_rx,ipv6_rx,ipv4_lc_tx,ipv6_lc_tx,ipv4_lc_rx,ipv6_lc_rx,ipv4_pkt_tx,ipv6_pkt_tx,ipv4_pkt_rx,ipv6_pkt_rx,ipv4_pkt_tx_err,ipv6_pkt_tx_err,ipv4_pkt_rx_err,ipv6_pkt_rx_err,ipv4_pkt_tx_ofl,ipv6_pkt_tx_ofl,ipv4_pkt_rx_ofl,ipv6_pkt_rx_ofl
06/29/2022_14:57:42,5842345,0,5920633,10990625,11677958,5920633,10990625,75517158,0,294939,4852264,5147203,294939,4852264,14,209409083,209409083,2101765328,2101765328,0,0,0,0,1093871,1093871,2102418,2102418,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295
06/29/2022_15:00:55,5843565,0,5921459,10991451,11678784,5921459,10991451,75517328,0,294939,4852264,5147203,294939,4852264,14,209410303,209410303,2101765498,2101765498,0,0,0,0,1093873,1093873,2102420,2102420,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295
06/29/2022_15:04:09,5843565,0,5922639,10992631,11679964,5922639,10992631,75517328,0,294939,4852264,5147203,294939,4852264,14,209410303,209410303,2101765498,2101765498,0,0,0,0,1093873,1093873,2102420,2102420,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295
06/29/2022_15:07:22,5843565,0,5923583,10993575,11680908,5923583,10993575,75517328,0,294939,4852264,5147203,294939,4852264,12,209410303,209410303,2101765498,2101765498,0,0,0,0,1093873,1093873,2102420,2102420,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295
06/29/2022_15:10:36,5843565,0,5924645,10994637,11681970,5924645,10994637,75517328,0,294939,4852264,5147203,294939,4852264,14,209410303,209410303,2101765498,2101765498,0,0,0,0,1093873,1093873,2102420,2102420,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295
06/29/2022_15:13:50,5844785,0,5925589,10995581,11682914,5925589,10995581,75517498,0,294939,4852264,5147203,294939,4852264,14,209411523,209411523,2101765668,2101765668,0,0,0,0,1093875,1093875,2102422,2102422,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295
06/29/2022_15:17:03,5844785,0,5926769,10996761,11684094,5926769,10996761,75517498,0,294939,4852264,5147203,294939,4852264,14,209411523,209411523,2101765668,2101765668,0,0,0,0,1093875,1093875,2102422,2102422,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295
06/29/2022_15:20:17,5844994,0,5927595,10997587,11684920,5927595,10997587,75517668,0,294939,4852264,5147203,294939,4852264,12,209411732,209411732,2101765838,2101765838,0,0,0,0,1093877,1093877,2102424,2102424,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295
06/29/2022_15:23:31,5844994,0,5928775,10998767,11686100,5928775,10998767,75517668,0,294939,4852264,5147203,294939,4852264,14,209411732,209411732,2101765838,2101765838,0,0,0,0,1093877,1093877,2102424,2102424,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295
06/29/2022_15:26:44,5844994,0,5929601,10999593,11686926,5929601,10999593,75517668,0,294939,4852264,5147203,294939,4852264,13,209411732,209411732,2101765838,2101765838,0,0,0,0,1093877,1093877,2102424,2102424,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295
06/29/2022_15:29:58,5846216,0,5930899,11000891,11688224,5930899,11000891,75517838,0,294939,4852264,5147203,294939,4852264,13,209412954,209412954,2101766008,2101766008,0,0,0,0,1093879,1093879,2102426,2102426,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295
06/29/2022_15:33:12,5846216,0,5931843,11001835,11689168,5931843,11001835,75517838,0,294939,4852264,5147203,294939,4852264,17,209412954,209412954,2101766008,2101766008,0,0,0,0,1093879,1093879,2102426,2102426,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295
06/29/2022_15:36:25,5846216,0,5933023,11003015,11690348,5933023,11003015,75517838,0,294939,4852264,5147203,294939,4852264,12,209412954,209412954,2101766008,2101766008,0,0,0,0,1093879,1093879,2102426,2102426,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295
06/29/2022_15:39:39,5846216,0,5934321,11004313,11691646,5934321,11004313,75517838,0,294939,4852264,5147203,294939,4852264,12,209412954,209412954,2101766008,2101766008,0,0,0,0,1093879,1093879,2102426,2102426,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295
06/29/2022_15:42:52,5846216,0,5935265,11005257,11692590,5935265,11005257,75517838,0,294939,4852264,5147203,294939,4852264,13,209412954,209412954,2101766008,2101766008,0,0,0,0,1093879,1093879,2102426,2102426,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295
06/29/2022_15:46:06,5847436,0,5936445,11006437,11693770,5936445,11006437,75518008,0,294939,4852264,5147203,294939,4852264,15,209414174,209414174,2101766178,2101766178,0,0,0,0,1093881,1093881,2102428,2102428,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295
06/29/2022_15:49:20,5847645,0,5937389,11007381,11694714,5937389,11007381,75518178,0,294939,4852264,5147203,294939,4852264,12,209414383,209414383,2101766348,2101766348,0,0,0,0,1093883,1093883,2102430,2102430,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295
06/29/2022_15:52:33,5847645,0,5938451,11008443,11695776,5938451,11008443,75518322,0,294939,4852264,5147203,294939,4852264,12,209414383,209414383,2101766444,2101766444,0,0,0,0,1093883,1093883,2102431,2102431,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295
06/29/2022_15:55:47,5847645,0,5939395,11009387,11696720,5939395,11009387,75518322,0,294939,4852264,5147203,294939,4852264,13,209414383,209414383,2101766444,2101766444,0,0,0,0,1093883,1093883,2102431,2102431,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295
06/29/2022_15:59:01,5848865,0,5940575,11010567,11697900,5940575,11010567,75518492,0,294939,4852264,5147203,294939,4852264,14,209415603,209415603,2101766614,2101766614,0,0,0,0,1093885,1093885,2102433,2102433,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295
06/29/2022_16:02:14,5848865,0,5941519,11011511,11698844,5941519,11011511,75518492,0,294939,4852264,5147203,294939,4852264,13,209415603,209415603,2101766614,2101766614,0,0,0,0,1093885,1093885,2102433,2102433,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295
06/29/2022_16:05:28,5848865,0,5942699,11012691,11700024,5942699,11012691,75518492,0,294939,4852264,5147203,294939,4852264,12,209415603,209415603,2101766614,2101766614,0,0,0,0,1093885,1093885,2102433,2102433,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295
06/29/2022_16:08:42,5848865,0,5943879,11013871,11701204,5943879,11013871,75518492,0,294939,4852264,5147203,294939,4852264,14,209415603,209415603,2101766614,2101766614,0,0,0,0,1093885,1093885,2102433,2102433,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295
06/29/2022_16:11:55,5848865,0,5944705,11014697,11702030,5944705,11014697,75518492,0,294939,4852264,5147203,294939,4852264,13,209415603,209415603,2101766614,2101766614,0,0,0,0,1093885,1093885,2102433,2102433,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295
06/29/2022_16:15:09,5850085,0,5945885,11015877,11703210,5945885,11015877,75518662,0,294939,4852264,5147203,294939,4852264,14,209416823,209416823,2101766784,2101766784,0,0,0,0,1093887,1093887,2102435,2102435,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295
06/29/2022_16:18:23,5850294,0,5946711,11016703,11704036,5946711,11016703,75518832,0,294939,4852264,5147203,294939,4852264,14,209417032,209417032,2101766954,2101766954,0,0,0,0,1093889,1093889,2102437,2102437,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295
06/29/2022_16:21:36,5850294,0,5947891,11017883,11705216,5947891,11017883,75518832,0,294939,4852264,5147203,294939,4852264,12,209417032,209417032,2101766954,2101766954,0,0,0,0,1093889,1093889,2102437,2102437,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295
06/29/2022_16:24:50,5850294,0,5948835,11018827,11706160,5948835,11018827,75518832,0,294939,4852264,5147203,294939,4852264,13,209417032,209417032,2101766954,2101766954,0,0,0,0,1093889,1093889,2102437,2102437,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295
06/29/2022_16:28:04,5850294,0,5950015,11020007,11707340,5950015,11020007,75518832,0,294939,4852264,5147203,294939,4852264,13,209417032,209417032,2101766954,2101766954,0,0,0,0,1093889,1093889,2102437,2102437,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295
06/29/2022_16:31:17,5851515,0,5950841,11020833,11708166,5950841,11020833,75519002,0,294939,4852264,5147203,294939,4852264,14,209418253,209418253,2101767124,2101767124,0,0,0,0,1093891,1093891,2102439,2102439,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295
06/29/2022_16:34:31,5851515,0,5952021,11022013,11709346,5952021,11022013,75519002,0,294939,4852264,5147203,294939,4852264,12,209418253,209418253,2101767124,2101767124,0,0,0,0,1093891,1093891,2102439,2102439,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295
06/29/2022_16:37:45,5851515,0,5953201,11023193,11710526,5953201,11023193,75519002,0,294939,4852264,5147203,294939,4852264,14,209418253,209418253,2101767124,2101767124,0,0,0,0,1093891,1093891,2102439,2102439,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295
06/29/2022_16:40:58,5851515,0,5954027,11024019,11711352,5954027,11024019,75519002,0,294939,4852264,5147203,294939,4852264,13,209418253,209418253,2101767124,2101767124,0,0,0,0,1093891,1093891,2102439,2102439,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295
06/29/2022_16:44:12,5852944,0,5955325,11025317,11712650,5955325,11025317,75519342,0,294939,4852264,5147203,294939,4852264,15,209419682,209419682,2101767464,2101767464,0,0,0,0,1093895,1093895,2102443,2102443,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295
06/29/2022_16:47:25,5852944,0,5956151,11026143,11713476,5956151,11026143,75519342,0,294939,4852264,5147203,294939,4852264,12,209419682,209419682,2101767464,2101767464,0,0,0,0,1093895,1093895,2102443,2102443,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295
06/29/2022_16:50:39,5852944,0,5957449,11027441,11714774,5957449,11027441,75519342,0,294939,4852264,5147203,294939,4852264,13,209419682,209419682,2101767464,2101767464,0,0,0,0,1093895,1093895,2102443,2102443,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295
06/29/2022_16:53:53,5852944,0,5958275,11028267,11715600,5958275,11028267,75519342,0,294939,4852264,5147203,294939,4852264,13,209419682,209419682,2101767464,2101767464,0,0,0,0,1093895,1093895,2102443,2102443,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295
06/29/2022_16:57:06,5852944,0,5959573,11029565,11716898,5959573,11029565,75519342,0,294939,4852264,5147203,294939,4852264,13,209419682,209419682,2101767464,2101767464,0,0,0,0,1093895,1093895,2102443,2102443,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295
06/29/2022_17:00:20,5854164,0,5960517,11030509,11717842,5960517,11030509,75519512,0,294939,4852264,5147203,294939,4852264,12,209420902,209420902,2101767634,2101767634,0,0,0,0,1093897,1093897,2102445,2102445,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295
06/29/2022_17:03:33,5854164,0,5961815,11031807,11719140,5961815,11031807,75519512,0,294939,4852264,5147203,294939,4852264,14,209420902,209420902,2101767634,2101767634,0,0,0,0,1093897,1093897,2102445,2102445,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295
06/29/2022_17:06:47,5854164,0,5962759,11032751,11720084,5962759,11032751,75519512,0,294939,4852264,5147203,294939,4852264,13,209420902,209420902,2101767634,2101767634,0,0,0,0,1093897,1093897,2102445,2102445,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295
06/29/2022_17:10:01,5854164,0,5963939,11033931,11721264,5963939,11033931,75519512,0,294939,4852264,5147203,294939,4852264,13,209420902,209420902,2101767634,2101767634,0,0,0,0,1093897,1093897,2102445,2102445,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295
06/29/2022_17:13:14,5854373,0,5965237,11035229,11722562,5965237,11035229,75519682,0,294939,4852264,5147203,294939,4852264,16,209421111,209421111,2101767804,2101767804,0,0,0,0,1093899,1093899,2102447,2102447,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295
06/29/2022_17:16:28,5855593,0,5966063,11036055,11723388,5966063,11036055,75519852,0,294939,4852264,5147203,294939,4852264,13,209422331,209422331,2101767974,2101767974,0,0,0,0,1093901,1093901,2102449,2102449,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295
06/29/2022_17:19:42,5855593,0,5967243,11037235,11724568,5967243,11037235,75519852,0,294939,4852264,5147203,294939,4852264,13,209422331,209422331,2101767974,2101767974,0,0,0,0,1093901,1093901,2102449,2102449,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295
06/29/2022_17:22:55,5855593,0,5968187,11038179,11725512,5968187,11038179,75519852,0,294939,4852264,5147203,294939,4852264,13,209422331,209422331,2101767974,2101767974,0,0,0,0,1093901,1093901,2102449,2102449,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295
06/29/2022_17:26:09,5855593,0,5969367,11039359,11726692,5969367,11039359,75519852,0,294939,4852264,5147203,294939,4852264,13,209422331,209422331,2101767974,2101767974,0,0,0,0,1093901,1093901,2102449,2102449,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295
06/29/2022_17:29:23,5856813,0,5970193,11040185,11727518,5970193,11040185,75520022,0,294939,4852264,5147203,294939,4852264,13,209423551,209423551,2101768144,2101768144,0,0,0,0,1093903,1093903,2102451,2102451,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295
06/29/2022_17:32:36,5856813,0,5971373,11041365,11728698,5971373,11041365,75520022,0,294939,4852264,5147203,294939,4852264,12,209423551,209423551,2101768144,2101768144,0,0,0,0,1093903,1093903,2102451,2102451,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295
