PID   PPID  USER     VSZ  RSS  COMMAND
  135     2 root        0    0 DIAG_USB_diag_m
  136     2 root        0    0 diag_mhi_MDM_DC
  137     2 root        0    0 diag_dci_MDM_DC
  138     2 root        0    0 qseecom-unreg-l
  139     2 root        0    0 atlantic-fwd
  140     2 root        0    0 irq/43-arm-smmu
  141     2 root        0    0 mhi_w
  147     2 root        0    0 k_ipa_usb
  150     2 root        0    0 irq/194-soc-upd
  151     2 root        0    0 irq/195-soc-rea
  152     2 root        0    0 irq/196-bsoc-de
  153     2 root        0    0 irq/197-msoc-de
  154     2 root        0    0 irq/198-msoc-lo
  155     2 root        0    0 irq/199-msoc-em
  156     2 root        0    0 irq/200-msoc-hi
  157     2 root        0    0 irq/201-msoc-fu
  158     2 root        0    0 irq/202-vbatt-l
  159     2 root        0    0 irq/203-vbatt-p
  160     2 root        0    0 irq/204-esr-del
  161     2 root        0    0 irq/205-batt-mi
  162     2 root        0    0 irq/206-batt-id
  163     2 root        0    0 irq/207-batt-te
  164     2 root        0    0 irq/208-batt-te
  165     2 root        0    0 irq/209-batt-te
  166     2 root        0    0 irq/210-ima-rdy
  167     2 root        0    0 irq/211-ima-xcp
  168     2 root        0    0 irq/212-dma-xcp
  169     2 root        0    0 irq/213-dma-gra
  170     2 root        0    0 irq/214-mem-att
  172     2 root        0    0 irq/149-bcl-lvl
  173     2 root        0    0 irq/150-bcl-lvl
  174     2 root        0    0 irq/151-bcl-lvl
  175     2 root        0    0 kworker/u2:8
  176     2 root        0    0 ipv6_addrconf
  189     2 root        0    0 irq/216-chgr-er
  191     2 root        0    0 irq/217-chg-sta
  193     2 root        0    0 irq/223-otg-fai
  195     2 root        0    0 irq/226-high-du
  196     2 root        0    0 irq/227-input-c
  197     2 root        0    0 irq/229-switche
  198     2 root        0    0 irq/230-bat-tem
  199     2 root        0    0 irq/231-bat-ov
  200     2 root        0    0 irq/232-bat-low
  201     2 root        0    0 irq/233-bat-the
  202     2 root        0    0 irq/234-bat-ter
  203     2 root        0    0 irq/237-usbin-c
  204     2 root        0    0 irq/238-usbin-v
  205     2 root        0    0 irq/239-usbin-u
  206     2 root        0    0 irq/240-usbin-o
  207     2 root        0    0 irq/241-usbin-p
  208     2 root        0    0 irq/243-usbin-s
  209     2 root        0    0 irq/244-usbin-i
  210     2 root        0    0 irq/246-dcin-uv
  211     2 root        0    0 irq/247-dcin-ov
  212     2 root        0    0 irq/248-dcin-pl
  213     2 root        0    0 irq/250-dcin-po
  214     2 root        0    0 irq/251-dcin-en
  215     2 root        0    0 irq/252-typec-o
  216     2 root        0    0 irq/254-typec-c
  217     2 root        0    0 irq/255-typec-v
  218     2 root        0    0 irq/257-typec-a
  219     2 root        0    0 irq/258-typec-l
  220     2 root        0    0 irq/260-wdog-sn
  221     2 root        0    0 irq/261-wdog-ba
  222     2 root        0    0 irq/263-aicl-do
  223     2 root        0    0 irq/264-smb-en
  224     2 root        0    0 irq/265-temp-ch
  225     2 root        0    0 irq/119-qcom,te
