PID   PPID  USER     VSZ  RSS  COMMAND
 1287     1 root     179m 7620 modem2d
 2015     1 root      36m 6556 webuid
 1524     1 root      52m 6476 dmdbd
 2351  2341 lighttpd  20m 5976 restapi.fcgi
  844     1 root      28m 5752 settingsd
  593     1 mifi     277m 5068 netmgrd
 1906     1 root      18m 4760 nua_timer_watch
 2343  2341 lighttpd  26m 4692 sysser.fcgi
 1202     1 root      60m 4476 powersaved
 1224     1 root      37m 4168 factory_resetd
 1994     1 root      84m 3932 nuad
 1278     1 root      44m 3844 duad
  540     1 root      66m 3592 ipacm
 1424     1 root      58m 3412 gpsd
 1690     1 root      35m 3268 ledd
 1138     1 root      34m 3000 ansd
 1060     1 root      35m 2976 usbd
 1045     1 root      33m 2968 router2d
 2461  1183 root     8872 2892 hostapd
 3739     1 root     5860 2888 dhcpd
  839     1 root      72m 2880 dsmd
 1401     1 root      50m 2880 ccm2d
 2789  1183 root     8872 2880 hostapd
 1367     1 root      51m 2676 sim_mgrd
 1485     1 root      57m 2440 smsd
 1183     1 root      49m 2324 wifid
  693     1 root      39m 2312 qti
 2341     1 lighttpd 5892 2308 lighttpd
  529     1 root      41m 2252 ipacm_perf
 1978     1 root      27m 2244 cloud_engined
 1250     1 root      24m 2180 fotad
 2408     1 root      55m 2176 qmuxbridge
 1927     1 root      24m 2140 emd
 1050     1 root      41m 2004 wan_mgrd
 1629     1 root      34m 1988 vpnd
 1596     1 root      31m 1900 adbd
 3673     1 root     4684 1804 dhcpd6
  853     1 root      32m 1704 mifi_healthd
  562     1 root      14m 1668 ipacmdiag
  978     1 root     8004 1628 mifi_watchdogd
  576     1 root      22m 1532 port_bridge
 1684     1 root      23m 1420 diag_read
  807     1 root     8016 1356 msgbusd
 1058     1 root     9356 1292 devuid
  598     1 1000      37m 1240 tftp_server
  565     1 1000     3388 1220 qseecomd
 1971     1 mifi     2564 1192 avahi-daemon
  300     1 root     2276  924 udevd
  935     1 root     2868  772 nvtl_mem_diag.s
 3750     1 root     1804  772 dnsmasq
  351     1 root     2152  768 syslogd
 3900  3894 root     2868  652 ps
 2346   300 root     2276  648 udevd
  764     1 root     2868  640 syslogd_monitor
 3894  3893 root     2868  640 exe
 2453     1 root     2868  616 getty
 2348   300 root     2276  600 udevd
