TIME,/tmp,/run,/var/log,/var/lock,/opt/nvtl/tmp
06/29/2022_20:59:08,896,192,2240,0,304
06/29/2022_21:02:22,896,192,2300,0,304
06/29/2022_21:05:36,896,192,2356,0,304
06/29/2022_21:08:49,896,192,2416,0,304
06/29/2022_21:12:03,896,192,1448,0,304
06/29/2022_21:15:17,896,192,1524,0,304
06/29/2022_21:18:30,896,192,1580,0,304
06/29/2022_21:21:44,896,192,1636,0,304
06/29/2022_21:24:58,896,192,1704,0,304
06/29/2022_21:28:11,896,192,1760,0,304
06/29/2022_21:31:25,896,192,1844,0,304
06/29/2022_21:34:39,896,192,1900,0,304
06/29/2022_21:37:52,896,192,1956,0,304
06/29/2022_21:41:06,896,192,2012,0,304
06/29/2022_21:44:19,896,192,2088,0,304
06/29/2022_21:47:33,896,192,2144,0,304
06/29/2022_21:50:47,896,192,2204,0,304
06/29/2022_21:54:00,896,192,2276,0,304
06/29/2022_21:57:14,896,192,2352,0,304
06/29/2022_22:00:28,896,192,2432,0,304
06/29/2022_22:03:41,896,192,1468,0,304
06/29/2022_22:06:55,896,192,1528,0,304
06/29/2022_22:10:09,896,192,1588,0,304
06/29/2022_22:13:22,896,192,1648,0,304
06/29/2022_22:16:36,896,192,1724,0,304
06/29/2022_22:19:49,896,192,1796,0,304
06/29/2022_22:23:03,896,192,1856,0,304
06/29/2022_22:26:17,896,192,1912,0,304
06/29/2022_22:29:30,896,192,1988,0,304
06/29/2022_22:32:44,896,192,2052,0,304
06/29/2022_22:35:58,896,192,2108,0,304
06/29/2022_22:39:11,896,192,2164,0,304
06/29/2022_22:42:25,896,192,2224,0,304
06/29/2022_22:45:38,896,192,2300,0,304
06/29/2022_22:48:52,896,192,2360,0,304
06/29/2022_22:52:06,896,192,2424,0,304
06/29/2022_22:55:19,896,192,1456,0,304
06/29/2022_22:58:33,896,192,1512,0,304
06/29/2022_23:01:47,896,192,1580,0,304
06/29/2022_23:05:00,896,192,1640,0,304
06/29/2022_23:08:14,896,192,1696,0,304
06/29/2022_23:11:28,896,192,1756,0,304
06/29/2022_23:14:41,896,192,1824,0,304
06/29/2022_23:17:55,896,192,1892,0,304
06/29/2022_23:21:09,896,192,1944,0,304
06/29/2022_23:24:22,896,192,2000,0,304
06/29/2022_23:27:36,896,192,2060,0,304
06/29/2022_23:30:49,896,192,2132,0,304
06/29/2022_23:34:03,896,192,2188,0,304
06/29/2022_23:37:17,896,192,2244,0,304
06/29/2022_23:40:30,896,192,2300,0,304
06/29/2022_23:43:44,896,192,2372,0,304
06/29/2022_23:46:58,896,192,2436,0,304
06/29/2022_23:50:11,896,192,1468,0,304
06/29/2022_23:53:25,896,192,1524,0,304
06/29/2022_23:56:39,896,192,1584,0,304
06/29/2022_23:59:52,896,192,1648,0,304
06/30/2022_00:03:06,896,192,1708,0,304
06/30/2022_00:06:20,896,192,1764,0,304
06/30/2022_00:09:33,896,192,1828,0,304
06/30/2022_00:12:47,896,192,1896,0,304
06/30/2022_00:16:01,896,192,1964,0,304
06/30/2022_00:19:14,896,192,2020,0,304
06/30/2022_00:22:28,896,192,2080,0,304
06/30/2022_00:25:41,896,192,2136,0,304
06/30/2022_00:28:55,896,192,2200,0,304
06/30/2022_00:32:09,896,192,2264,0,304
06/30/2022_00:35:22,896,192,2320,0,304
06/30/2022_00:38:36,896,192,2380,0,304
06/30/2022_00:41:49,896,192,2444,0,304
06/30/2022_00:45:03,896,192,1488,0,304
06/30/2022_00:48:17,896,192,1544,0,304
06/30/2022_00:51:30,896,192,1608,0,304
06/30/2022_00:54:44,896,192,1672,0,304
06/30/2022_00:57:58,896,192,1728,0,304
06/30/2022_01:01:11,896,192,1800,0,304
06/30/2022_01:04:25,896,192,1852,0,304
06/30/2022_01:07:39,896,192,1924,0,304
06/30/2022_01:10:52,896,192,1984,0,304
06/30/2022_01:14:06,896,192,2052,0,304
06/30/2022_01:17:20,896,192,2112,0,304
06/30/2022_01:20:33,896,192,2172,0,304
06/30/2022_01:23:47,896,192,2228,0,304
06/30/2022_01:27:00,896,192,2284,0,304
06/30/2022_01:30:14,896,192,2352,0,304
06/30/2022_01:33:28,896,192,2408,0,304
